"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2017001111","Nov. 2017","23100","Nagoya-shi","4,201","2,178","2,023","4,841","2,669","2,172","4,921","2,781","2,140","-80","-112","32"
"60000","All nationalities","2017001111","Nov. 2017","26100","Kyoto-shi","2,087","1,031","1,056","2,281","1,159","1,122","2,550","1,287","1,263","-269","-128","-141"
"60000","All nationalities","2017001111","Nov. 2017","27100","Osaka-shi","5,531","2,847","2,684","7,123","3,667","3,456","6,730","3,557","3,173","393","110","283"
"60000","All nationalities","2017001111","Nov. 2017","27140","Sakai-shi","740","370","370","1,503","760","743","1,686","864","822","-183","-104","-79"
"60000","All nationalities","2017001111","Nov. 2017","28100","Kobe-shi","2,222","1,085","1,137","2,609","1,316","1,293","2,914","1,474","1,440","-305","-158","-147"
"60000","All nationalities","2017001111","Nov. 2017","33100","Okayama-shi","816","397","419","1,203","625","578","1,378","721","657","-175","-96","-79"
"60000","All nationalities","2017001111","Nov. 2017","34100","Hiroshima-shi","1,805","916","889","1,763","986","777","1,958","1,074","884","-195","-88","-107"
"60000","All nationalities","2017001111","Nov. 2017","40100","Kitakyushu-shi","1,206","614","592","1,334","737","597","1,517","797","720","-183","-60","-123"
"60000","All nationalities","2017001111","Nov. 2017","40130","Fukuoka-shi","3,252","1,612","1,640","4,106","2,135","1,971","3,681","1,933","1,748","425","202","223"
"60000","All nationalities","2017001111","Nov. 2017","43100","Kumamoto-shi","1,101","514","587","1,261","688","573","1,257","642","615","4","46","-42"
"60000","All nationalities","2017001010","Oct. 2017","00000","Japan","213,558","109,383","104,175","174,692","97,454","77,238","174,692","97,454","77,238","0","0","0"
"60000","All nationalities","2017001010","Oct. 2017","01000","Hokkaido","14,222","7,092","7,130","3,484","2,017","1,467","3,820","2,064","1,756","-336","-47","-289"
"60000","All nationalities","2017001010","Oct. 2017","02000","Aomori-ken","1,088","523","565","1,290","749","541","1,343","735","608","-53","14","-67"
"60000","All nationalities","2017001010","Oct. 2017","03000","Iwate-ken","1,231","624","607","1,280","704","576","1,393","729","664","-113","-25","-88"
"60000","All nationalities","2017001010","Oct. 2017","04000","Miyagi-ken","4,422","2,197","2,225","3,293","1,913","1,380","3,275","1,891","1,384","18","22","-4"
"60000","All nationalities","2017001010","Oct. 2017","05000","Akita-ken","651","308","343","828","475","353","911","506","405","-83","-31","-52"
"60000","All nationalities","2017001010","Oct. 2017","06000","Yamagata-ken","896","443","453","961","537","424","1,002","568","434","-41","-31","-10"
"60000","All nationalities","2017001010","Oct. 2017","07000","Fukushima-ken","1,815","927","888","1,741","1,053","688","2,153","1,301","852","-412","-248","-164"
"60000","All nationalities","2017001010","Oct. 2017","08000","Ibaraki-ken","3,633","1,955","1,678","3,878","2,243","1,635","3,886","2,307","1,579","-8","-64","56"
"60000","All nationalities","2017001010","Oct. 2017","09000","Tochigi-ken","1,864","979","885","2,585","1,501","1,084","3,012","1,724","1,288","-427","-223","-204"
"60000","All nationalities","2017001010","Oct. 2017","10000","Gumma-ken","2,339","1,176","1,163","2,547","1,533","1,014","2,409","1,455","954","138","78","60"
"60000","All nationalities","2017001010","Oct. 2017","11000","Saitama-ken","11,797","6,108","5,689","13,375","7,450","5,925","12,028","6,656","5,372","1,347","794","553"
"60000","All nationalities","2017001010","Oct. 2017","12000","Chiba-ken","9,876","5,198","4,678","11,390","6,314","5,076","10,759","6,144","4,615","631","170","461"
