"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"61000","Japanese","2018000101","Jan. 2018","05000","Akita-ken","463","218","245","506","310","196","689","354","335","-183","-44","-139"
"61000","Japanese","2018000101","Jan. 2018","06000","Yamagata-ken","704","348","356","557","315","242","694","360","334","-137","-45","-92"
"61000","Japanese","2018000101","Jan. 2018","07000","Fukushima-ken","1,469","733","736","1,304","810","494","1,563","882","681","-259","-72","-187"
"61000","Japanese","2018000101","Jan. 2018","08000","Ibaraki-ken","2,981","1,561","1,420","2,640","1,522","1,118","2,736","1,507","1,229","-96","15","-111"
"61000","Japanese","2018000101","Jan. 2018","09000","Tochigi-ken","1,660","837","823","1,846","1,082","764","1,921","1,081","840","-75","1","-76"
"61000","Japanese","2018000101","Jan. 2018","10000","Gumma-ken","1,805","933","872","1,624","946","678","1,620","924","696","4","22","-18"
"61000","Japanese","2018000101","Jan. 2018","11000","Saitama-ken","9,170","4,730","4,440","9,516","5,114","4,402","8,752","4,770","3,982","764","344","420"
"61000","Japanese","2018000101","Jan. 2018","12000","Chiba-ken","7,624","4,015","3,609","8,447","4,558","3,889","7,983","4,497","3,486","464","61","403"
"61000","Japanese","2018000101","Jan. 2018","13000","Tokyo-to","26,279","13,434","12,845","24,582","12,760","11,822","21,377","11,528","9,849","3,205","1,232","1,973"
"61000","Japanese","2018000101","Jan. 2018","14000","Kanagawa-ken","14,302","7,684","6,618","12,287","6,644","5,643","11,756","6,469","5,287","531","175","356"
"61000","Japanese","2018000101","Jan. 2018","15000","Niigata-ken","1,777","856","921","991","572","419","1,320","734","586","-329","-162","-167"
"61000","Japanese","2018000101","Jan. 2018","16000","Toyama-ken","608","303","305","623","374","249","694","392","302","-71","-18","-53"
"61000","Japanese","2018000101","Jan. 2018","17000","Ishikawa-ken","919","449","470","830","489","341","945","561","384","-115","-72","-43"
